SUBDIVISION,YEAR,Parameter,ANNUAL
HARYANA DELHI & CHANDIGARH,1907,Percentage departure,-17.1
HARYANA DELHI & CHANDIGARH,1907,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1908,Actual,689
HARYANA DELHI & CHANDIGARH,1908,Percentage departure,28.7
HARYANA DELHI & CHANDIGARH,1908,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1909,Actual,769.3
HARYANA DELHI & CHANDIGARH,1909,Percentage departure,43.7
HARYANA DELHI & CHANDIGARH,1909,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1910,Actual,605.2
HARYANA DELHI & CHANDIGARH,1910,Percentage departure,13
HARYANA DELHI & CHANDIGARH,1910,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1911,Actual,509.7
HARYANA DELHI & CHANDIGARH,1911,Percentage departure,-4.8
HARYANA DELHI & CHANDIGARH,1911,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1912,Actual,529.3
HARYANA DELHI & CHANDIGARH,1912,Percentage departure,-1.2
HARYANA DELHI & CHANDIGARH,1912,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1913,Actual,508.4
HARYANA DELHI & CHANDIGARH,1913,Percentage departure,-5.1
HARYANA DELHI & CHANDIGARH,1913,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1914,Actual,664.7
HARYANA DELHI & CHANDIGARH,1914,Percentage departure,24.1
HARYANA DELHI & CHANDIGARH,1914,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1915,Actual,422.4
HARYANA DELHI & CHANDIGARH,1915,Percentage departure,-21.1
HARYANA DELHI & CHANDIGARH,1915,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1916,Actual,629.1
HARYANA DELHI & CHANDIGARH,1916,Percentage departure,17.5
HARYANA DELHI & CHANDIGARH,1916,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1917,Actual,986.7
HARYANA DELHI & CHANDIGARH,1917,Percentage departure,84.3
HARYANA DELHI & CHANDIGARH,1917,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1918,Actual,234.7
HARYANA DELHI & CHANDIGARH,1918,Percentage departure,-56.2
HARYANA DELHI & CHANDIGARH,1918,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1919,Actual,553.7
HARYANA DELHI & CHANDIGARH,1919,Percentage departure,3.4
HARYANA DELHI & CHANDIGARH,1919,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1920,Actual,368.8
HARYANA DELHI & CHANDIGARH,1920,Percentage departure,-31.1
HARYANA DELHI & CHANDIGARH,1920,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1921,Actual,446.5
HARYANA DELHI & CHANDIGARH,1921,Percentage departure,-16.6
HARYANA DELHI & CHANDIGARH,1921,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1922,Actual,552.9
HARYANA DELHI & CHANDIGARH,1922,Percentage departure,3.2
HARYANA DELHI & CHANDIGARH,1922,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1923,Actual,581.5
HARYANA DELHI & CHANDIGARH,1923,Percentage departure,8.6
HARYANA DELHI & CHANDIGARH,1923,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1924,Actual,654.8
HARYANA DELHI & CHANDIGARH,1924,Percentage departure,22.3
HARYANA DELHI & CHANDIGARH,1924,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1925,Actual,557.2
HARYANA DELHI & CHANDIGARH,1925,Percentage departure,4.1
HARYANA DELHI & CHANDIGARH,1925,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1926,Actual,615.9
HARYANA DELHI & CHANDIGARH,1926,Percentage departure,15
HARYANA DELHI & CHANDIGARH,1926,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1927,Actual,502.5
HARYANA DELHI & CHANDIGARH,1927,Percentage departure,-6.2
HARYANA DELHI & CHANDIGARH,1927,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1928,Actual,388.2
HARYANA DELHI & CHANDIGARH,1928,Percentage departure,-27.5
HARYANA DELHI & CHANDIGARH,1928,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1929,Actual,306.6
HARYANA DELHI & CHANDIGARH,1929,Percentage departure,-42.7
HARYANA DELHI & CHANDIGARH,1929,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1930,Actual,500.5
HARYANA DELHI & CHANDIGARH,1930,Percentage departure,-6.5
HARYANA DELHI & CHANDIGARH,1930,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1931,Actual,519.2
HARYANA DELHI & CHANDIGARH,1931,Percentage departure,-3
HARYANA DELHI & CHANDIGARH,1931,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1932,Actual,440.1
HARYANA DELHI & CHANDIGARH,1932,Percentage departure,-17.8
HARYANA DELHI & CHANDIGARH,1932,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1933,Actual,856.9
HARYANA DELHI & CHANDIGARH,1933,Percentage departure,60
HARYANA DELHI & CHANDIGARH,1933,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1934,Actual,501.4
HARYANA DELHI & CHANDIGARH,1934,Percentage departure,-6.4
HARYANA DELHI & CHANDIGARH,1934,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1935,Actual,568.3
HARYANA DELHI & CHANDIGARH,1935,Percentage departure,6.1
HARYANA DELHI & CHANDIGARH,1935,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1936,Actual,511.1
HARYANA DELHI & CHANDIGARH,1936,Percentage departure,-4.6
HARYANA DELHI & CHANDIGARH,1936,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1937,Actual,481.7
HARYANA DELHI & CHANDIGARH,1937,Percentage departure,-10
HARYANA DELHI & CHANDIGARH,1937,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1938,Actual,278.8
HARYANA DELHI & CHANDIGARH,1938,Percentage departure,-47.9
HARYANA DELHI & CHANDIGARH,1938,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1939,Actual,310.2
HARYANA DELHI & CHANDIGARH,1939,Percentage departure,-42.1
HARYANA DELHI & CHANDIGARH,1939,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1940,Actual,395.7
HARYANA DELHI & CHANDIGARH,1940,Percentage departure,-26.1
HARYANA DELHI & CHANDIGARH,1940,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1941,Actual,363.9
HARYANA DELHI & CHANDIGARH,1941,Percentage departure,-32
HARYANA DELHI & CHANDIGARH,1941,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1942,Actual,804.5
HARYANA DELHI & CHANDIGARH,1942,Percentage departure,50.2
HARYANA DELHI & CHANDIGARH,1942,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1943,Actual,407.9
HARYANA DELHI & CHANDIGARH,1943,Percentage departure,-23.8
HARYANA DELHI & CHANDIGARH,1943,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1944,Actual,484.2
HARYANA DELHI & CHANDIGARH,1944,Percentage departure,-9.6
HARYANA DELHI & CHANDIGARH,1944,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1945,Actual,654.6
HARYANA DELHI & CHANDIGARH,1945,Percentage departure,22.2
HARYANA DELHI & CHANDIGARH,1945,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1946,Actual,437.8
HARYANA DELHI & CHANDIGARH,1946,Percentage departure,-18.2
HARYANA DELHI & CHANDIGARH,1946,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1947,Actual,464.5
HARYANA DELHI & CHANDIGARH,1947,Percentage departure,-13.2
HARYANA DELHI & CHANDIGARH,1947,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1948,Actual,592.1
HARYANA DELHI & CHANDIGARH,1948,Percentage departure,10.6
HARYANA DELHI & CHANDIGARH,1948,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1949,Actual,485.3
HARYANA DELHI & CHANDIGARH,1949,Percentage departure,-9.4
HARYANA DELHI & CHANDIGARH,1949,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1950,Actual,551.1
HARYANA DELHI & CHANDIGARH,1950,Percentage departure,2.9
HARYANA DELHI & CHANDIGARH,1950,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1951,Actual,338.2
HARYANA DELHI & CHANDIGARH,1951,Percentage departure,-36.8
HARYANA DELHI & CHANDIGARH,1951,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1952,Actual,556.3
HARYANA DELHI & CHANDIGARH,1952,Percentage departure,3.9
HARYANA DELHI & CHANDIGARH,1952,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1953,Actual,561.9
HARYANA DELHI & CHANDIGARH,1953,Percentage departure,4.9
HARYANA DELHI & CHANDIGARH,1953,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1954,Actual,537
HARYANA DELHI & CHANDIGARH,1954,Percentage departure,0.3
HARYANA DELHI & CHANDIGARH,1954,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1955,Actual,694.1
HARYANA DELHI & CHANDIGARH,1955,Percentage departure,29.6
HARYANA DELHI & CHANDIGARH,1955,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1956,Actual,653.8
HARYANA DELHI & CHANDIGARH,1956,Percentage departure,22.1
HARYANA DELHI & CHANDIGARH,1956,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1957,Actual,617.2
HARYANA DELHI & CHANDIGARH,1957,Percentage departure,15.3
HARYANA DELHI & CHANDIGARH,1957,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1958,Actual,673
HARYANA DELHI & CHANDIGARH,1958,Percentage departure,25.7
HARYANA DELHI & CHANDIGARH,1958,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1959,Actual,484.9
HARYANA DELHI & CHANDIGARH,1959,Percentage departure,-9.4
HARYANA DELHI & CHANDIGARH,1959,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1960,Actual,722.9
HARYANA DELHI & CHANDIGARH,1960,Percentage departure,35
HARYANA DELHI & CHANDIGARH,1960,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1961,Actual,627.9
HARYANA DELHI & CHANDIGARH,1961,Percentage departure,17.3
HARYANA DELHI & CHANDIGARH,1961,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1962,Actual,511
HARYANA DELHI & CHANDIGARH,1962,Percentage departure,-4.6
HARYANA DELHI & CHANDIGARH,1962,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1963,Actual,521.8
HARYANA DELHI & CHANDIGARH,1963,Percentage departure,-2.6
HARYANA DELHI & CHANDIGARH,1963,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1964,Actual,710.9
HARYANA DELHI & CHANDIGARH,1964,Percentage departure,32.8
HARYANA DELHI & CHANDIGARH,1964,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1965,Actual,381.9
HARYANA DELHI & CHANDIGARH,1965,Percentage departure,-28.7
HARYANA DELHI & CHANDIGARH,1965,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1966,Actual,707.7
HARYANA DELHI & CHANDIGARH,1966,Percentage departure,32.2
HARYANA DELHI & CHANDIGARH,1966,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1967,Actual,839.9
HARYANA DELHI & CHANDIGARH,1967,Percentage departure,56.9
HARYANA DELHI & CHANDIGARH,1967,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1968,Actual,388.3
HARYANA DELHI & CHANDIGARH,1968,Percentage departure,-27.5
HARYANA DELHI & CHANDIGARH,1968,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1969,Actual,477.2
HARYANA DELHI & CHANDIGARH,1969,Percentage departure,-10.9
HARYANA DELHI & CHANDIGARH,1969,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1970,Actual,538.2
HARYANA DELHI & CHANDIGARH,1970,Percentage departure,0.5
HARYANA DELHI & CHANDIGARH,1970,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1971,Actual,636.8
HARYANA DELHI & CHANDIGARH,1971,Percentage departure,18.9
HARYANA DELHI & CHANDIGARH,1971,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1972,Actual,440.8
HARYANA DELHI & CHANDIGARH,1972,Percentage departure,-17.7
HARYANA DELHI & CHANDIGARH,1972,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1973,Actual,527.2
HARYANA DELHI & CHANDIGARH,1973,Percentage departure,-1.6
HARYANA DELHI & CHANDIGARH,1973,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1974,Actual,384.9
HARYANA DELHI & CHANDIGARH,1974,Percentage departure,-28.1
HARYANA DELHI & CHANDIGARH,1974,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1975,Actual,622.1
HARYANA DELHI & CHANDIGARH,1975,Percentage departure,16.2
HARYANA DELHI & CHANDIGARH,1975,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1976,Actual,726.7
HARYANA DELHI & CHANDIGARH,1976,Percentage departure,35.7
HARYANA DELHI & CHANDIGARH,1976,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1977,Actual,740.1
HARYANA DELHI & CHANDIGARH,1977,Percentage departure,38.2
HARYANA DELHI & CHANDIGARH,1977,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1978,Actual,651.1
HARYANA DELHI & CHANDIGARH,1978,Percentage departure,21.6
HARYANA DELHI & CHANDIGARH,1978,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1979,Actual,341.5
HARYANA DELHI & CHANDIGARH,1979,Percentage departure,-36.2
HARYANA DELHI & CHANDIGARH,1979,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1980,Actual,513.2
HARYANA DELHI & CHANDIGARH,1980,Percentage departure,-4.2
HARYANA DELHI & CHANDIGARH,1980,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1981,Actual,493.4
HARYANA DELHI & CHANDIGARH,1981,Percentage departure,-7.8
HARYANA DELHI & CHANDIGARH,1981,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1982,Actual,506.6
HARYANA DELHI & CHANDIGARH,1982,Percentage departure,-5.4
HARYANA DELHI & CHANDIGARH,1982,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1983,Actual,744.5
HARYANA DELHI & CHANDIGARH,1983,Percentage departure,39
HARYANA DELHI & CHANDIGARH,1983,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1984,Actual,479.2
HARYANA DELHI & CHANDIGARH,1984,Percentage departure,-10.5
HARYANA DELHI & CHANDIGARH,1984,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1985,Actual,572.4
HARYANA DELHI & CHANDIGARH,1985,Percentage departure,6.9
HARYANA DELHI & CHANDIGARH,1985,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1986,Actual,450.9
HARYANA DELHI & CHANDIGARH,1986,Percentage departure,-15.8
HARYANA DELHI & CHANDIGARH,1986,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1987,Actual,318.6
HARYANA DELHI & CHANDIGARH,1987,Percentage departure,-40.5
HARYANA DELHI & CHANDIGARH,1987,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1988,Actual,845
HARYANA DELHI & CHANDIGARH,1988,Percentage departure,57.8
HARYANA DELHI & CHANDIGARH,1988,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1989,Actual,416.5
HARYANA DELHI & CHANDIGARH,1989,Percentage departure,-22.2
HARYANA DELHI & CHANDIGARH,1989,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1990,Actual,703.1
HARYANA DELHI & CHANDIGARH,1990,Percentage departure,31.3
HARYANA DELHI & CHANDIGARH,1990,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1991,Actual,393.9
HARYANA DELHI & CHANDIGARH,1991,Percentage departure,-26.4
HARYANA DELHI & CHANDIGARH,1991,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1992,Actual,429.7
HARYANA DELHI & CHANDIGARH,1992,Percentage departure,-19.8
HARYANA DELHI & CHANDIGARH,1992,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1993,Actual,523.8
HARYANA DELHI & CHANDIGARH,1993,Percentage departure,-2.2
HARYANA DELHI & CHANDIGARH,1993,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1994,Actual,564.4
HARYANA DELHI & CHANDIGARH,1994,Percentage departure,5.4
HARYANA DELHI & CHANDIGARH,1994,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1995,Actual,819.1
HARYANA DELHI & CHANDIGARH,1995,Percentage departure,53
HARYANA DELHI & CHANDIGARH,1995,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1996,Actual,644.6
HARYANA DELHI & CHANDIGARH,1996,Percentage departure,20.4
HARYANA DELHI & CHANDIGARH,1996,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1997,Actual,668.6
HARYANA DELHI & CHANDIGARH,1997,Percentage departure,24.9
HARYANA DELHI & CHANDIGARH,1997,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1998,Actual,685.3
HARYANA DELHI & CHANDIGARH,1998,Percentage departure,28
HARYANA DELHI & CHANDIGARH,1998,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1999,Actual,344.4
HARYANA DELHI & CHANDIGARH,1999,Percentage departure,-35.7
HARYANA DELHI & CHANDIGARH,1999,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2000,Actual,384.4
HARYANA DELHI & CHANDIGARH,2000,Percentage departure,-28.2
HARYANA DELHI & CHANDIGARH,2000,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2001,Actual,485.5
HARYANA DELHI & CHANDIGARH,2001,Percentage departure,-9.3
HARYANA DELHI & CHANDIGARH,2001,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2002,Actual,357.2
HARYANA DELHI & CHANDIGARH,2002,Percentage departure,-33.3
HARYANA DELHI & CHANDIGARH,2002,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2003,Actual,597.6
HARYANA DELHI & CHANDIGARH,2003,Percentage departure,11.6
HARYANA DELHI & CHANDIGARH,2003,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2004,Actual,487.3
HARYANA DELHI & CHANDIGARH,2004,Percentage departure,-9
HARYANA DELHI & CHANDIGARH,2004,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2005,Actual,519.5
HARYANA DELHI & CHANDIGARH,2005,Percentage departure,-3
HARYANA DELHI & CHANDIGARH,2005,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2006,Actual,330.9
HARYANA DELHI & CHANDIGARH,2006,Percentage departure,-38.2
HARYANA DELHI & CHANDIGARH,2006,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2007,Actual,446.6
HARYANA DELHI & CHANDIGARH,2007,Percentage departure,-16.6
HARYANA DELHI & CHANDIGARH,2007,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2008,Actual,710.4
HARYANA DELHI & CHANDIGARH,2008,Percentage departure,32.7
HARYANA DELHI & CHANDIGARH,2008,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2009,Actual,395.4
HARYANA DELHI & CHANDIGARH,2009,Percentage departure,-26.2
HARYANA DELHI & CHANDIGARH,2009,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2010,Actual,640.5
HARYANA DELHI & CHANDIGARH,2010,Percentage departure,19.6
HARYANA DELHI & CHANDIGARH,2010,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2011,Actual,512
HARYANA DELHI & CHANDIGARH,2011,Percentage departure,-4.4
HARYANA DELHI & CHANDIGARH,2011,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2012,Actual,391.4
HARYANA DELHI & CHANDIGARH,2012,Percentage departure,-26.9
HARYANA DELHI & CHANDIGARH,2012,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2013,Actual,461.2
HARYANA DELHI & CHANDIGARH,2013,Percentage departure,-13.9
HARYANA DELHI & CHANDIGARH,2013,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2014,Actual,305.5
HARYANA DELHI & CHANDIGARH,2014,Percentage departure,-43
HARYANA DELHI & CHANDIGARH,2014,No. of districts,NA
HARYANA DELHI & CHANDIGARH,2015,Actual,435.3
HARYANA DELHI & CHANDIGARH,2015,Percentage departure,-18.7
HARYANA DELHI & CHANDIGARH,2015,No. of districts,NA
HIMACHAL PRADESH,1901,Mean,1267.7
HIMACHAL PRADESH,1901,Standard deviation,249.4
HIMACHAL PRADESH,1901,Coefficient of variation,19.7
HIMACHAL PRADESH,1901,Actual,1345.1
HIMACHAL PRADESH,1901,Percentage departure,6.1
HIMACHAL PRADESH,1901,No. of districts,NA
HIMACHAL PRADESH,1902,Actual,951.6
HIMACHAL PRADESH,1902,Percentage departure,-24.9
HIMACHAL PRADESH,1902,No. of districts,NA
HIMACHAL PRADESH,1903,Actual,993.3
HIMACHAL PRADESH,1903,Percentage departure,-21.6
HIMACHAL PRADESH,1903,No. of districts,NA
HIMACHAL PRADESH,1904,Actual,987.6
HIMACHAL PRADESH,1904,Percentage departure,-22.1
HIMACHAL PRADESH,1904,No. of districts,NA
HIMACHAL PRADESH,1905,Actual,930.2
HIMACHAL PRADESH,1905,Percentage departure,-26.6
HIMACHAL PRADESH,1905,No. of districts,NA
HIMACHAL PRADESH,1906,Actual,1317.5
HIMACHAL PRADESH,1906,Percentage departure,3.9
HIMACHAL PRADESH,1906,No. of districts,NA
HIMACHAL PRADESH,1907,Actual,875.4
HIMACHAL PRADESH,1907,Percentage departure,-30.9
HIMACHAL PRADESH,1907,No. of districts,NA
HIMACHAL PRADESH,1908,Actual,987.6
HIMACHAL PRADESH,1908,Percentage departure,-22.1
HIMACHAL PRADESH,1908,No. of districts,NA
HIMACHAL PRADESH,1909,Actual,1077
HIMACHAL PRADESH,1909,Percentage departure,-15
HIMACHAL PRADESH,1909,No. of districts,NA
HIMACHAL PRADESH,1910,Actual,1406.9
HIMACHAL PRADESH,1910,Percentage departure,11
HIMACHAL PRADESH,1910,No. of districts,NA
HIMACHAL PRADESH,1911,Actual,1333.8
HIMACHAL PRADESH,1911,Percentage departure,5.2
HIMACHAL PRADESH,1911,No. of districts,NA
HIMACHAL PRADESH,1912,Actual,1207.6
HIMACHAL PRADESH,1912,Percentage departure,-4.7
HIMACHAL PRADESH,1912,No. of districts,NA
HIMACHAL PRADESH,1913,Actual,1119.3
HIMACHAL PRADESH,1913,Percentage departure,-11.7
HIMACHAL PRADESH,1913,No. of districts,NA
HIMACHAL PRADESH,1914,Actual,1735.9
HIMACHAL PRADESH,1914,Percentage departure,36.9
HIMACHAL PRADESH,1914,No. of districts,NA
HIMACHAL PRADESH,1915,Actual,1236.8
HIMACHAL PRADESH,1915,Percentage departure,-2.4
HIMACHAL PRADESH,1915,No. of districts,NA
HIMACHAL PRADESH,1916,Actual,1172.1
HIMACHAL PRADESH,1916,Percentage departure,-7.5
HIMACHAL PRADESH,1916,No. of districts,NA
HIMACHAL PRADESH,1917,Actual,1703.6
HIMACHAL PRADESH,1917,Percentage departure,34.4
HIMACHAL PRADESH,1917,No. of districts,NA
HIMACHAL PRADESH,1918,Actual,984.7
HIMACHAL PRADESH,1918,Percentage departure,-22.3
HIMACHAL PRADESH,1918,No. of districts,NA
HIMACHAL PRADESH,1919,Actual,1213.1
HIMACHAL PRADESH,1919,Percentage departure,-4.3
HIMACHAL PRADESH,1919,No. of districts,NA
HIMACHAL PRADESH,1920,Actual,1084.8
HIMACHAL PRADESH,1920,Percentage departure,-14.4
HIMACHAL PRADESH,1920,No. of districts,NA
HIMACHAL PRADESH,1921,Actual,1311.2
HIMACHAL PRADESH,1921,Percentage departure,3.4
HIMACHAL PRADESH,1921,No. of districts,NA
HIMACHAL PRADESH,1922,Actual,1718.6
HIMACHAL PRADESH,1922,Percentage departure,35.6
HIMACHAL PRADESH,1922,No. of districts,NA
HIMACHAL PRADESH,1923,Actual,1620.9
HIMACHAL PRADESH,1923,Percentage departure,27.9
HIMACHAL PRADESH,1923,No. of districts,NA
HIMACHAL PRADESH,1924,Actual,1660.7
HIMACHAL PRADESH,1924,Percentage departure,31
HIMACHAL PRADESH,1924,No. of districts,NA
HIMACHAL PRADESH,1925,Actual,1509.3
HIMACHAL PRADESH,1925,Percentage departure,19.1
HIMACHAL PRADESH,1925,No. of districts,NA
HIMACHAL PRADESH,1926,Actual,1450
HIMACHAL PRADESH,1926,Percentage departure,14.4
HIMACHAL PRADESH,1926,No. of districts,NA
HIMACHAL PRADESH,1927,Actual,1435
HIMACHAL PRADESH,1927,Percentage departure,13.2
HIMACHAL PRADESH,1927,No. of districts,NA
HIMACHAL PRADESH,1928,Actual,1308.9
HIMACHAL PRADESH,1928,Percentage departure,3.3
HIMACHAL PRADESH,1928,No. of districts,NA
HIMACHAL PRADESH,1929,Actual,1424.7
HIMACHAL PRADESH,1929,Percentage departure,12.4
HIMACHAL PRADESH,1929,No. of districts,NA
HIMACHAL PRADESH,1930,Actual,1305.5
HIMACHAL PRADESH,1930,Percentage departure,3
HIMACHAL PRADESH,1930,No. of districts,NA
HIMACHAL PRADESH,1931,Actual,1266.3
HIMACHAL PRADESH,1931,Percentage departure,-0.1
HIMACHAL PRADESH,1931,No. of districts,NA
HIMACHAL PRADESH,1932,Actual,1418.9
HIMACHAL PRADESH,1932,Percentage departure,11.9
HIMACHAL PRADESH,1932,No. of districts,NA
HIMACHAL PRADESH,1933,Actual,1240.4
HIMACHAL PRADESH,1933,Percentage departure,-2.2
